,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,antal_apo,Kommune_y,Kode,Befolkning,År
115,18339212.507,6335647.5043,40.74,0.1903120152,0.2117336091,214254.52075999998,0.5020985633,0.7697962491,0.8972049904,7,Roskilde,265,86207,2016
122,,,40.79,0.1934347767,0.2345690161,227986.53496,0.5158633175,0.8164346726,0.9177642,2,Solrød,269,21788,2016
124,23009470.85,8047346.79,45.06,0.2532695994,0.19476864100000002,190718.97477,0.4861758989,0.7772203151,0.9222303206999999,3,Gribskov,270,41107,2016
127,,,47.1,0.2898888653,0.1693062411,151793.10263,0.4301019789,0.7006340834,0.9355347821,2,Odsherred,306,32816,2016
129,41136694.2,14275941.1,41.7,0.19877378440000001,0.2139675828,183834.06217000002,0.48261888630000005,0.7457154531999999,0.9082514401999999,3,Holbæk,316,69972,2016
132,20668081.55,7253052.34,43.07,0.214194231,0.2003007016,180263.85155999998,0.48847591939999996,0.7576523315000001,0.9261677548999999,3,Faxe,320,35614,2016
135,30415545.05,10508271.86,43.61,0.22911195010000002,0.19816973079999997,171923.11178,0.4535758323,0.7137373085,0.9294697904000001,3,Kalundborg,326,48660,2016
138,,,40.63,0.1758661957,0.2134037771,190238.43430999998,0.5048020614000001,0.7602378441,0.8719840712000001,2,Ringsted,329,34031,2016
140,27151652.43,9430120.74,42.09,0.20863145079999998,0.1941568986,167281.49213,0.46669548520000004,0.7154620311,0.890239406,5,Slagelse,330,78140,2016
145,,,44.45,0.2387070959,0.1916236884,183387.4573,0.4875539921,0.7624071903,0.931246382,2,Stevns,336,22260,2016
147,16762956.25,5848757.1,42.5,0.20469673929999999,0.2116573746,184715.72429,0.48663011100000003,0.7553055781,0.9369415109999999,3,Sorø,340,29543,2016
150,,,42.54,0.21549521929999998,0.2233048683,208701.6547,0.5054631829,0.8032434545,0.9324319386,1,Lejre,350,27317,2016
151,20973475.425,7489518.645,47.13,0.28057230699999997,0.1657088802,138442.74334000002,0.3950479801,0.6311286044,0.9203648857,4,Lolland,360,42638,2016
155,21921067.075,7729275.89,42.03,0.20479287,0.2026495199,175725.08753,0.47716191630000004,0.7328750306999999,0.9141297756,6,Næstved,370,82342,2016
161,14893603.5,5294164.8086,45.27,0.255105539,0.17663287460000002,151567.45421,0.43413987299999995,0.6864230969,0.9219435531,7,Guldborgsund,376,60979,2016
168,16920460.77,5928663.552,45.22,0.25533809760000004,0.184742707,154571.76524,0.4349964098,0.6957197234999999,0.9295023826000001,5,Vordingborg,390,45806,2016
173,23640775.7,8408868.73,47.2,0.2788512407,0.1682327749,146707.87615999999,0.43588125409999995,0.7009268983,0.9376483062000001,3,Bornholm,400,39756,2016
176,21079459.95,7354368.91,43.04,0.21904286879999998,0.21119365760000003,182429.55655,0.48580217700000006,0.7645022844,0.9321133722,3,Middelfart,410,37913,2016
179,16291076.213,5804980.02,43.2,0.22203430780000002,0.20927760329999998,165085.90855999998,0.4625308612,0.7294007491,0.9346952607,4,Assens,420,41224,2016
183,,,43.72,0.23324120210000002,0.2047454064,158744.0539,0.45841298329999997,0.7303113393999999,0.9350056568,2,Faaborg-Midtfyn,430,51236,2016
185,,,44.05,0.2407251619,0.1997980988,165975.18060999998,0.4500717481,0.7247318326000001,0.9242424242,2,Kerteminde,440,23880,2016
187,13202906.775,4622266.0275,43.54,0.2304150333,0.2013253687,157548.92241,0.4411287808,0.7057404463,0.9170876208,4,Nyborg,450,31886,2016
191,21735455.065,7686735.0485,38.89,0.16834111969999999,0.1906134232,165511.96722,0.4608150314,0.6734336034999999,0.8426704645,13,Odense,461,198972,2016
204,17939832.36,6281728.542,43.2,0.2226457016,0.19661596309999999,164184.82473,0.4472058194,0.6949297351,0.9213863928,5,Svendborg,479,58228,2016
209,15304411.85,5445882.68,43.15,0.2185356245,0.2081437207,165777.01663,0.4748052125,0.7409341801,0.9327685346,3,Nordfyns,480,29298,2016
212,,,49.85,0.323183336,0.1487517888,131640.90704000002,0.4066783551,0.6654594839,0.9346509404000001,2,Langeland,482,12547,2016
214,,,51.09,0.3483891857,0.1372834709,134186.75439000002,0.4076474401,0.6822047244,0.9334089436,1,Ærø,492,6290,2016
