,Kommune,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom,antal_apo,År
50,167,39.44,0.17101701649999998,0.21803486589999999,185228.12364,0.4887877063,0.7504734114,0.8168468981,52831,1505354.0796,0,2,2015
52,169,39.16,0.1697157726,0.2244795837,179638.13224,0.47864929429999997,0.7319205298,0.7379896007,49960,1130058.4232,0,3,2015
55,173,40.99,0.19432999980000001,0.2158375229,252641.69054,0.49545529060000004,0.7697655018999999,0.8669556823000001,55097,2298497.7795,0,3,2015
58,175,40.66,0.1858849534,0.2096468607,184252.42815,0.4859818014,0.7534133043000001,0.8235263088,38002,1301226.4108,0,2,2015
60,183,37.94,0.1547097236,0.2283299043,161336.89461,0.45691976310000004,0.691160422,0.6260545683,22358,1199858.8646,0,1,2015
61,185,40.83,0.18399440039999998,0.2188520765,193011.07629,0.4966094561,0.7759902928,0.8740354487,42860,1660558.8161,0,3,2015
64,187,39.43,0.18704196120000002,0.23879629030000002,204644.40665999998,0.5000974849,0.803280543,0.7859881718,15419,1317485.735,0,1,2015
65,190,41.45,0.2070425341,0.23896802469999998,237028.6455,0.4848363827,0.7877286242,0.8636896887000001,40156,1881129.9241,0,2,2015
67,201,41.29,0.20059032829999998,0.24535015359999998,240669.16106999997,0.5072322839,0.8283374762000001,0.9186823873000001,24732,1741292.3485,0,1,2015
68,210,42.37,0.214025728,0.2228510172,216250.26186,0.4838475953,0.7636412031,0.8405246720999999,40112,1721002.5875,0,4,2015
72,217,43.16,0.2247954648,0.2038910005,196459.05601,0.4745098039,0.7438707491,0.8747680142,62092,1551139.4282,0,6,2015
78,219,40.38,0.1825978418,0.22930423579999998,213631.50228,0.5130248794,0.7932276656999999,0.8878306665000001,49672,1535766.8427,0,2,2015
80,223,45.06,0.26913679149999997,0.2125375526,283491.9796,0.47361657700000004,0.7899224806,0.8947072523999999,24965,2335240.2121,0,2,2015
