TOT_P,GRD_ID,CNTR_CODE,METHD_CL,YEAR,DATA_SRC,TOT_P_CON_DT
365,1kmN3628E4476,DK,A,2011,DK,0
894,1kmN3628E4477,DK,A,2011,DK,0
4560,1kmN3628E4478,DK,A,2011,DK,0
1852,1kmN3629E4475,DK,A,2011,DK,0
2766,1kmN3629E4476,DK,A,2011,DK,0
3847,1kmN3629E4477,DK,A,2011,DK,0
4988,1kmN3629E4478,DK,A,2011,DK,0
1334,1kmN3630E4473,DK,A,2011,DK,0
1752,1kmN3630E4474,DK,A,2011,DK,0
3037,1kmN3630E4475,DK,A,2011,DK,0
3600,1kmN3630E4476,DK,A,2011,DK,0
3474,1kmN3630E4477,DK,A,2011,DK,0
381,1kmN3631E4473,DK,A,2011,DK,0
2640,1kmN3631E4474,DK,A,2011,DK,0
3091,1kmN3631E4475,DK,A,2011,DK,0
3291,1kmN3631E4476,DK,A,2011,DK,0
257,1kmN3632E4474,DK,A,2011,DK,0
64,1kmN3632E4475,DK,A,2011,DK,0
1390,1kmN3632E4476,DK,A,2011,DK,0
2461,1kmN3620E4470,DK,A,2011,DK,0
3715,1kmN3620E4471,DK,A,2011,DK,0
4097,1kmN3620E4472,DK,A,2011,DK,0
1076,1kmN3621E4471,DK,A,2011,DK,0
2168,1kmN3621E4472,DK,A,2011,DK,0
466,1kmN3621E4473,DK,A,2011,DK,0
211,1kmN3622E4471,DK,A,2011,DK,0
2148,1kmN3622E4472,DK,A,2011,DK,0
1319,1kmN3622E4473,DK,A,2011,DK,0
3,1kmN3623E4471,DK,A,2011,DK,0
352,1kmN3623E4472,DK,A,2011,DK,0
2,1kmN3624E4471,DK,A,2011,DK,0
1190,1kmN3624E4472,DK,A,2011,DK,0
597,1kmN3626E4473,DK,A,2011,DK,0
3890,1kmN3626E4474,DK,A,2011,DK,0
3580,1kmN3627E4473,DK,A,2011,DK,0
2941,1kmN3627E4474,DK,A,2011,DK,0
1697,1kmN3628E4472,DK,A,2011,DK,0
3701,1kmN3628E4473,DK,A,2011,DK,0
2788,1kmN3628E4474,DK,A,2011,DK,0
715,1kmN3629E4472,DK,A,2011,DK,0
2096,1kmN3629E4473,DK,A,2011,DK,0
774,1kmN3629E4474,DK,A,2011,DK,0
2690,1kmN3630E4471,DK,A,2011,DK,0
2366,1kmN3618E4468,DK,A,2011,DK,0
671,1kmN3619E4467,DK,A,2011,DK,0
4224,1kmN3619E4468,DK,A,2011,DK,0
2905,1kmN3619E4469,DK,A,2011,DK,0
1812,1kmN3620E4467,DK,A,2011,DK,0
2296,1kmN3620E4468,DK,A,2011,DK,0
3457,1kmN3620E4469,DK,A,2011,DK,0
87,1kmN3621E4467,DK,A,2011,DK,0
3371,1kmN3621E4468,DK,A,2011,DK,0
3531,1kmN3621E4469,DK,A,2011,DK,0
2684,1kmN3621E4470,DK,A,2011,DK,0
96,1kmN3622E4467,DK,A,2011,DK,0
2,1kmN3622E4468,DK,A,2011,DK,0
90,1kmN3622E4469,DK,A,2011,DK,0
251,1kmN3622E4470,DK,A,2011,DK,0
12,1kmN3623E4467,DK,A,2011,DK,0
247,1kmN3634E4467,DK,A,2011,DK,0
153,1kmN3634E4468,DK,A,2011,DK,0
1386,1kmN3634E4469,DK,A,2011,DK,0
677,1kmN3634E4470,DK,A,2011,DK,0
11,1kmN3635E4467,DK,A,2011,DK,0
3,1kmN3635E4468,DK,A,2011,DK,0
16,1kmN3635E4469,DK,A,2011,DK,0
11,1kmN3635E4470,DK,A,2011,DK,0
323,1kmN3636E4467,DK,A,2011,DK,0
2152,1kmN3636E4468,DK,A,2011,DK,0
2621,1kmN3636E4469,DK,A,2011,DK,0
1744,1kmN3636E4470,DK,A,2011,DK,0
1205,1kmN3636E4471,DK,A,2011,DK,0
28,1kmN3636E4472,DK,A,2011,DK,0
7,1kmN3637E4466,DK,A,2011,DK,0
216,1kmN3637E4467,DK,A,2011,DK,0
1699,1kmN3637E4468,DK,A,2011,DK,0
1254,1kmN3637E4469,DK,A,2011,DK,0
4780,1kmN3637E4470,DK,A,2011,DK,0
1367,1kmN3637E4471,DK,A,2011,DK,0
389,1kmN3638E4467,DK,A,2011,DK,0
489,1kmN3638E4468,DK,A,2011,DK,0
138,1kmN3638E4469,DK,A,2011,DK,0
300,1kmN3638E4470,DK,A,2011,DK,0
81,1kmN3638E4471,DK,A,2011,DK,0
53,1kmN3639E4469,DK,A,2011,DK,0
32,1kmN3639E4470,DK,A,2011,DK,0
23,1kmN3640E4469,DK,A,2011,DK,0
26,1kmN3636E4466,DK,A,2011,DK,0
13,1kmN3637E4462,DK,A,2011,DK,0
48,1kmN3637E4463,DK,A,2011,DK,0
77,1kmN3637E4464,DK,A,2011,DK,0
50,1kmN3637E4465,DK,A,2011,DK,0
3,1kmN3638E4460,DK,A,2011,DK,0
42,1kmN3638E4461,DK,A,2011,DK,0
21,1kmN3638E4462,DK,A,2011,DK,0
229,1kmN3638E4463,DK,A,2011,DK,0
32,1kmN3638E4464,DK,A,2011,DK,0
123,1kmN3638E4465,DK,A,2011,DK,0
123,1kmN3638E4466,DK,A,2011,DK,0
